parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
inhibition_ratio,6.470494911408436e-05,0.12589254117941662,2.5265380693478714,7.845086086793204e-07,0.0008857249057576062,training_rmse_nm_s,mse
inhibition_ratio,8.145870470856938e-05,0.15848931924611143,2.526563515584968,7.845079019238118e-07,0.0008857245067874162,training_rmse_nm_s,mse
inhibition_ratio,0.00010255043336945519,0.19952623149688808,2.526595550496742,7.845070210251163e-07,0.0008857240095114935,training_rmse_nm_s,mse
inhibition_ratio,0.00012910334655931173,0.25118864315095824,2.526635880056893,7.845059260706675e-07,0.0008857233913986169,training_rmse_nm_s,mse
inhibition_ratio,0.00016253148373118645,0.31622776601683794,2.5266866519581246,7.845045698408787e-07,0.0008857226257925664,training_rmse_nm_s,mse
inhibition_ratio,0.00020461501508580094,0.3981071705534973,2.5267505699838786,7.845028976868647e-07,0.0008857216818430408,training_rmse_nm_s,mse
inhibition_ratio,0.0002575950421261617,0.5011872336272725,2.5268310379934755,7.845008484106518e-07,0.0008857205250024704,training_rmse_nm_s,mse
inhibition_ratio,0.00032429294448481404,0.6309573444801936,2.5269323411881826,7.844983570113864e-07,0.0008857191185761919,training_rmse_nm_s,mse
inhibition_ratio,0.00040826062867748764,0.7943282347242822,2.527059874310856,7.844953607367475e-07,0.0008857174271384455,training_rmse_nm_s,mse
inhibition_ratio,0.0005139696800771512,1.0,2.527220428930998,7.844918108091601e-07,0.0008857154231519061,training_rmse_nm_s,mse
inhibition_ratio,0.0006470494911408442,1.2589254117941675,2.527422555113195,7.844876936910365e-07,0.0008857130989722555,training_rmse_nm_s,mse
inhibition_ratio,0.0008145870470856938,1.584893192461114,2.527677016727506,7.84483068147565e-07,0.0008857104877710125,training_rmse_nm_s,mse
inhibition_ratio,0.001025504333694552,1.9952623149688808,2.527997364646215,7.844781281868416e-07,0.0008857076990671593,training_rmse_nm_s,mse
inhibition_ratio,0.001291033465593117,2.5118864315095824,2.528400658347776,7.844733080405282e-07,0.0008857049779924059,training_rmse_nm_s,mse
inhibition_ratio,0.0016253148373118645,3.1622776601683795,2.5289083743496543,7.844694550090073e-07,0.0008857028028684381,training_rmse_nm_s,mse
inhibition_ratio,0.0020461501508580093,3.981071705534973,2.5295475498374485,7.844681113010266e-07,0.0008857020443134512,training_rmse_nm_s,mse
inhibition_ratio,0.002575950421261617,5.011872336272725,2.530352222376883,7.844719701925753e-07,0.0008857042227473996,training_rmse_nm_s,mse
inhibition_ratio,0.003242929444848141,6.309573444801936,2.5313652423536417,7.844856099796862e-07,0.0008857119226812328,training_rmse_nm_s,mse
inhibition_ratio,0.004082606286774876,7.943282347242821,2.5326405546206483,7.845166691908071e-07,0.0008857294559801018,training_rmse_nm_s,mse
inhibition_ratio,0.0051396968007715125,10.0,2.5342460707967027,7.845777205579075e-07,0.0008857639192007696,training_rmse_nm_s,mse
inhibition_ratio,0.006470494911408449,12.589254117941687,2.5362672850790435,7.846892480773887e-07,0.0008858268725193364,training_rmse_nm_s,mse
inhibition_ratio,0.008145870470856938,15.848931924611142,2.5388118259712553,7.848843596923514e-07,0.000885936995328873,training_rmse_nm_s,mse
