equation_family,model_id,role_A,role_I,role_B,optimizer,loss,trial,objective,best_objective,best_error,best_error_name
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,83,9.400390442368329e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,84,2.4701174736842393e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,85,2.4708428139198845e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,86,2.3049162673451667e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,87,2.3044497281865386e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,88,9.36153903891593e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,89,2.4688427772219287e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,90,2.469568776086706e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,91,0.0007862688191264609,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,92,0.0007862755332743685,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
